ID|Key|Raw|CompositeID|DateIndex.ID|DateIndex.Key|DateIndex.Raw|DateIndex.Date|DateIndex.Current.State|WeightProjection.ID|WeightProjection.Key|WeightProjection.Raw|WeightProjection.CompositeID|WeightProjection.UserID|WeightProjection.GoalID|WeightProjection.ProjectionNo|WeightProjection.Weight.KGs|WeightProjection.Date|WeightProjection.Note|WeightProjection.BMI.BMI|WeightProjection.BMI.Description|WeightProjection.BMI.Glyph|WeightProjection.Amount.KGs|WeightProjection.VsTarget|WeightProjection.ToGoal.KGs
100|2466a48d2ad3509593197766bd82ae486fc680d73f6c1c587fed116c84df36f8|100⋮100⋮1⋮100|100⋮100⋮1⋮100|100|ca2eff92a0a2ca492f3cc1caf6d1bfed6e4175fa76308b65ce6ee6347df10b8d|250714200044279063000501059883|2025-07-14T01:00:00+01:00|true|100|c390f12adf53505214073ccd9af9e5332eb1bf245ee6767b91597c82b9d0f7bc|250714200044315425000501029914|100⋮100⋮1|100|100|1|112|2025-07-21T20:00:44.312055+01:00|Projection For_100/1 @ 2|31.702035646584072|Obese|🔴|2|Above 90.00 kg (Target)|22
101|e10edf8dbe02cb029a031a18e9779df6ec7ccabe2c061dd2ec69cfe635e73f18|100⋮100⋮2⋮100|100⋮100⋮2⋮100|100|ca2eff92a0a2ca492f3cc1caf6d1bfed6e4175fa76308b65ce6ee6347df10b8d|250714200044279063000501059883|2025-07-14T01:00:00+01:00|true|101|f47ff328684ca3641f2f674973433b8ecc42a23c96967317a9b3d509e955faf4|250714200044372212000501098839|100⋮100⋮2|100|100|2|110|2025-07-28T20:00:44.372192+01:00|Projection For_100/2 @ 2|31.135927867180786|Obese|🔴|2|Above 90.00 kg (Target)|20
102|8b68f9c52a71c987702743af65dfa50d677a8bc9a46668702d1366334ed68cae|100⋮100⋮3⋮100|100⋮100⋮3⋮100|100|ca2eff92a0a2ca492f3cc1caf6d1bfed6e4175fa76308b65ce6ee6347df10b8d|250714200044279063000501059883|2025-07-14T01:00:00+01:00|true|102|23522faaaf0cd030dfc434dcd48dce16859b293a830aea716c954993bdc4a45b|250714200044398156000501061897|100⋮100⋮3|100|100|3|108|2025-08-04T20:00:44.398142+01:00|Projection For_100/3 @ 2|30.569820087777497|Obese|🔴|2|Above 90.00 kg (Target)|18
103|e0fadd7044dafcbcd43b11b9eb59c59c2a43d106fbf144d3552f478b3cff8c83|100⋮100⋮4⋮100|100⋮100⋮4⋮100|100|ca2eff92a0a2ca492f3cc1caf6d1bfed6e4175fa76308b65ce6ee6347df10b8d|250714200044279063000501059883|2025-07-14T01:00:00+01:00|true|103|12356d89961f9bf6fa42d18879dc42de95b82318c17703be568aafb0ea5a7594|250714200044432338000501051127|100⋮100⋮4|100|100|4|106|2025-08-11T20:00:44.432321+01:00|Projection For_100/4 @ 2|30.00371230837421|Obese|🔴|2|Above 90.00 kg (Target)|16
104|11fea14b9408aad85ad1d569a3fb6db0ef2206cb2039976b155a64d03d4e3bde|100⋮100⋮5⋮100|100⋮100⋮5⋮100|100|ca2eff92a0a2ca492f3cc1caf6d1bfed6e4175fa76308b65ce6ee6347df10b8d|250714200044279063000501059883|2025-07-14T01:00:00+01:00|true|104|d5ccb4c9a4dbad7c0738c4e70fb2be7cc900cb420c8eafca660843479f4bc5ef|250714200044457343000501059097|100⋮100⋮5|100|100|5|104|2025-08-18T20:00:44.457329+01:00|Projection For_100/5 @ 2|29.437604528970926|Overweight|🟠|2|Above 90.00 kg (Target)|14
105|34face443efeb70e694468578940b007f388bb03bb575f3b0a778a135b5239a4|100⋮100⋮6⋮100|100⋮100⋮6⋮100|100|ca2eff92a0a2ca492f3cc1caf6d1bfed6e4175fa76308b65ce6ee6347df10b8d|250714200044279063000501059883|2025-07-14T01:00:00+01:00|true|105|013a6edad642388cb5a31289128377b7ce1faa8ceb1496cd84dc8d81d2f1e108|250714200044484749000501083524|100⋮100⋮6|100|100|6|102|2025-08-25T20:00:44.484737+01:00|Projection For_100/6 @ 2|28.871496749567637|Overweight|🟠|2|Above 90.00 kg (Target)|12
106|91193a82fc38552f76501953ea4c8d6e07ccc1a89b3c7223df3839b3008d192b|100⋮100⋮7⋮100|100⋮100⋮7⋮100|100|ca2eff92a0a2ca492f3cc1caf6d1bfed6e4175fa76308b65ce6ee6347df10b8d|250714200044279063000501059883|2025-07-14T01:00:00+01:00|true|106|1bca3c1687eca8a739aefb74e72343a9e371ba20643c5f36eb918e1c61b8523b|250714200044518452000501026176|100⋮100⋮7|100|100|7|100|2025-09-01T20:00:44.518437+01:00|Projection For_100/7 @ 2|28.30538897016435|Overweight|🟠|2|Above 90.00 kg (Target)|10
107|01095c7a49998d4a0b0df2b6eb559d95d6594597af86c3f1336799688633b767|100⋮100⋮8⋮100|100⋮100⋮8⋮100|100|ca2eff92a0a2ca492f3cc1caf6d1bfed6e4175fa76308b65ce6ee6347df10b8d|250714200044279063000501059883|2025-07-14T01:00:00+01:00|true|107|94fa8afd3a9e9505c026f05cd77046ab3d859721afb83044d8b926289ba458fa|250714200044558520000501055669|100⋮100⋮8|100|100|8|98|2025-09-08T20:00:44.558505+01:00|Projection For_100/8 @ 2|27.739281190761062|Overweight|🟠|2|Above 90.00 kg (Target)|8
108|09e7109a5c32e123600c6da048af021f9efe4aaababc398203c8097fdf1f49f3|100⋮100⋮9⋮100|100⋮100⋮9⋮100|100|ca2eff92a0a2ca492f3cc1caf6d1bfed6e4175fa76308b65ce6ee6347df10b8d|250714200044279063000501059883|2025-07-14T01:00:00+01:00|true|108|355e2988a17aa977ec22443a3f18ff01dcd87ac86845aaa9bd40a4f2204c8eda|250714200044580542000501059744|100⋮100⋮9|100|100|9|96|2025-09-15T20:00:44.580527+01:00|Projection For_100/9 @ 2|27.173173411357777|Overweight|🟠|2|Above 90.00 kg (Target)|6
109|fbdf8764f2d74b1c540e0f70068d3789adc3e891e528d2e29bd25dab9071aef5|100⋮100⋮10⋮100|100⋮100⋮10⋮100|100|ca2eff92a0a2ca492f3cc1caf6d1bfed6e4175fa76308b65ce6ee6347df10b8d|250714200044279063000501059883|2025-07-14T01:00:00+01:00|true|109|658070c3b9d81409ddff5250fa3f21e56df6f69a68ed7a11067d0c2a01f31f2a|250714200044631058000501058131|100⋮100⋮10|100|100|10|94|2025-09-22T20:00:44.631041+01:00|Projection For_100/10 @ 2|26.60706563195449|Overweight|🟠|2|Above 90.00 kg (Target)|4
